Transaction_ID,Date,Store_ID,Product_Category,Units_Sold,Unit_Selling_Price,Unit_Cost,Inventory_Purchased_Units,Inventory_Purchase_Cost,Returned_Units,Discount_Applied,Shrinkage_Units,Payment_Method,Supplier,Revenue,COGS,Return_Loss,Shrinkage_Loss,Profit
T00001,2024-04-12,Store_B,Home,1,382.7,58.25,46,3370.42,2,0.06,0,Mobile,Supplier_Y,359.73799999999994,58.25,765.4,0.0,-463.91200000000003
T00002,2024-12-14,Store_B,Clothing,1,92.42,365.9,11,5531.9,0,0.23,1,Mobile,Supplier_Z,71.16340000000001,365.9,0.0,365.9,-660.6365999999999
T00003,2024-09-27,Store_B,Beauty,2,418.45,190.76,36,2075.92,1,0.28,1,Mobile,Supplier_X,602.568,381.52,418.45,190.76,-388.16200000000003
T00004,2024-04-16,Store_C,Sports,1,105.6,229.81,49,301.07,0,0.24,0,Mobile,Supplier_Y,80.256,229.81,0.0,0.0,-149.554
T00005,2024-03-12,Store_A,Home,5,447.38,371.6,19,5665.23,2,0.22,0,Cash,Supplier_X,1744.7820000000002,1858.0,894.76,0.0,-1007.9780000000001
T00006,2024-07-07,Store_A,Sports,4,234.74,214.45,1,4706.26,0,0.1,0,Cash,Supplier_W,845.0640000000001,857.8,0.0,0.0,-12.735999999999876
T00007,2024-01-21,Store_A,Home,2,341.72,144.67,35,6601.64,2,0.02,1,Cash,Supplier_Y,669.7712,289.34,683.44,144.67,-447.6788
T00008,2024-04-12,Store_B,Sports,4,253.65,319.88,14,1552.34,2,0.06,0,Cash,Supplier_Z,953.7239999999999,1279.52,507.3,0.0,-833.096
T00009,2024-05-01,Store_B,Beauty,4,56.06,179.93,37,8425.16,1,0.13,0,Card,Supplier_W,195.08880000000002,719.72,56.06,0.0,-580.6912
T00010,2024-08-02,Store_A,Clothing,3,152.45,130.8,21,1547.59,0,0.29,0,Mobile,Supplier_Z,324.71849999999995,392.40000000000003,0.0,0.0,-67.68150000000009
T00011,2024-11-26,Store_B,Beauty,3,492.03,290.68,43,8924.3,2,0.22,1,Cash,Supplier_W,1151.3502,872.04,984.06,290.68,-995.4297999999997
T00012,2024-03-28,Store_A,Electronics,2,480.75,321.63,49,4550.26,1,0.25,0,Mobile,Supplier_Z,721.125,643.26,480.75,0.0,-402.885
T00013,2024-04-09,Store_A,Clothing,3,167.04,317.73,31,5543.07,1,0.08,0,Cash,Supplier_Z,461.03040000000004,953.19,167.04,0.0,-659.1995999999999
T00014,2024-12-25,Store_A,Beauty,3,498.19,391.18,19,8976.16,1,0.21,1,Mobile,Supplier_X,1180.7103,1173.54,498.19,391.18,-882.1996999999999
T00015,2024-05-31,Store_A,Electronics,3,424.32,315.73,35,3069.14,2,0.26,0,Card,Supplier_W,941.9904,947.19,848.64,0.0,-853.8395999999999
T00016,2024-05-10,Store_A,Home,4,309.37,309.12,32,1900.09,0,0.14,0,Cash,Supplier_X,1064.2328,1236.48,0.0,0.0,-172.24720000000002
T00017,2024-05-29,Store_A,Home,2,29.66,343.71,14,4512.94,2,0.13,0,Card,Supplier_X,51.6084,687.42,59.32,0.0,-695.1316
T00018,2024-11-04,Store_A,Sports,4,451.71,5.07,49,2519.24,1,0.22,1,Card,Supplier_X,1409.3352,20.28,451.71,5.07,932.2752
T00019,2024-09-14,Store_B,Clothing,5,283.14,148.16,45,5325.65,2,0.17,0,Mobile,Supplier_X,1175.0309999999997,740.8,566.28,0.0,-132.0490000000002
T00020,2024-12-09,Store_A,Home,4,435.55,296.35,2,2825.05,2,0.3,0,Cash,Supplier_Z,1219.54,1185.4,871.1,0.0,-836.96
T00021,2024-10-20,Store_A,Clothing,5,418.87,241.89,28,8658.45,1,0.13,0,Card,Supplier_X,1822.0845,1209.4499999999998,418.87,0.0,193.76450000000023
T00022,2024-07-10,Store_B,Home,1,418.17,75.14,46,6112.51,0,0.05,0,Mobile,Supplier_X,397.2615,75.14,0.0,0.0,322.1215
T00023,2024-10-03,Store_B,Sports,1,352.11,124.97,26,102.38,1,0.14,0,Mobile,Supplier_X,302.8146,124.97,352.11,0.0,-174.26540000000006
T00024,2024-06-09,Store_B,Beauty,5,152.79,138.03,4,8074.19,1,0.07,0,Mobile,Supplier_Z,710.4735,690.15,152.79,0.0,-132.4665
T00025,2024-11-09,Store_A,Sports,5,174.72,229.29,30,3369.1,2,0.17,0,Card,Supplier_W,725.088,1146.45,349.44,0.0,-770.8020000000001
T00026,2024-01-22,Store_C,Electronics,4,161.15,333.48,21,3270.06,1,0.04,1,Mobile,Supplier_Z,618.816,1333.92,161.15,333.48,-1209.7340000000002
T00027,2024-09-09,Store_C,Home,5,19.82,373.33,34,3892.32,2,0.28,1,Mobile,Supplier_Z,71.35199999999999,1866.6499999999999,39.64,373.33,-2208.268
T00028,2024-08-23,Store_B,Electronics,2,295.46,301.29,6,6339.6,1,0.26,1,Mobile,Supplier_Z,437.28079999999994,602.58,295.46,301.29,-762.0491999999999
T00029,2024-12-10,Store_C,Electronics,1,352.43,337.97,5,4476.4,1,0.05,0,Card,Supplier_W,334.8085,337.97,352.43,0.0,-355.5915000000001
T00030,2024-02-18,Store_B,Clothing,1,428.39,190.69,25,6323.49,0,0.05,1,Mobile,Supplier_X,406.97049999999996,190.69,0.0,190.69,25.590499999999963
T00031,2024-02-28,Store_A,Home,5,78.68,158.96,0,1553.13,1,0.15,0,Card,Supplier_X,334.39000000000004,794.8000000000001,78.68,0.0,-539.0899999999999
T00032,2024-06-18,Store_C,Electronics,3,276.65,160.12,18,9704.63,0,0.23,0,Mobile,Supplier_W,639.0614999999999,480.36,0.0,0.0,158.7014999999999
T00033,2024-07-06,Store_A,Beauty,3,13.92,248.34,6,7323.1,1,0.07,0,Card,Supplier_W,38.8368,745.02,13.92,0.0,-720.1031999999999
T00034,2024-09-27,Store_C,Electronics,5,56.6,54.07,35,2577.05,1,0.02,1,Card,Supplier_Y,277.34,270.35,56.6,54.07,-103.68000000000006
T00035,2024-07-08,Store_A,Beauty,2,36.56,233.9,11,7269.28,1,0.16,1,Cash,Supplier_X,61.4208,467.8,36.56,233.9,-676.8392
T00036,2024-06-23,Store_C,Clothing,3,365.48,267.73,19,5792.75,0,0.21,0,Cash,Supplier_Z,866.1876000000001,803.19,0.0,0.0,62.997600000000034
T00037,2024-02-20,Store_A,Electronics,5,49.72,178.37,22,1180.97,2,0.07,0,Cash,Supplier_Z,231.19799999999998,891.85,99.44,0.0,-760.092
T00038,2024-12-29,Store_A,Sports,2,361.06,381.5,24,1864.14,0,0.22,1,Card,Supplier_X,563.2536,763.0,0.0,381.5,-581.2464
T00039,2024-02-24,Store_C,Clothing,2,132.32,245.24,29,508.95,1,0.29,1,Mobile,Supplier_W,187.8944,490.48,132.32,245.24,-680.1456
T00040,2024-08-31,Store_A,Beauty,4,440.08,91.9,28,8111.46,2,0.04,1,Mobile,Supplier_Y,1689.9071999999999,367.6,880.16,91.9,350.2471999999998
T00041,2024-11-15,Store_A,Clothing,2,408.44,194.29,30,5561.88,1,0.15,1,Card,Supplier_Z,694.348,388.58,408.44,194.29,-296.962
T00042,2024-05-10,Store_A,Electronics,3,479.34,271.78,17,3235.81,0,0.02,1,Mobile,Supplier_Y,1409.2595999999999,815.3399999999999,0.0,271.78,322.1396
T00043,2024-11-02,Store_C,Home,3,443.04,132.83,40,1350.81,0,0.06,1,Card,Supplier_Z,1249.3728,398.49,0.0,132.83,718.0528
T00044,2024-05-14,Store_C,Home,5,467.33,36.46,18,4892.05,2,0.03,1,Mobile,Supplier_Z,2266.5505,182.3,934.66,36.46,1113.1304999999998
T00045,2024-01-21,Store_A,Beauty,5,430.78,235.46,3,5300.09,0,0.12,0,Card,Supplier_X,1895.4319999999998,1177.3,0.0,0.0,718.1319999999998
T00046,2024-11-24,Store_A,Beauty,2,349.76,379.41,0,7049.29,1,0.25,0,Cash,Supplier_Z,524.64,758.82,349.76,0.0,-583.9399999999999
T00047,2024-06-15,Store_C,Home,1,93.43,196.6,40,9702.38,2,0.17,1,Cash,Supplier_Y,77.54690000000001,196.6,186.86,196.6,-502.51310000000007
T00048,2024-09-30,Store_C,Beauty,4,143.14,362.91,14,4405.96,1,0.07,1,Mobile,Supplier_Y,532.4807999999999,1451.64,143.14,362.91,-1425.2092000000002
T00049,2024-03-29,Store_A,Clothing,1,114.24,334.83,7,4119.74,2,0.01,0,Mobile,Supplier_X,113.0976,334.83,228.48,0.0,-450.21239999999995
T00050,2024-11-11,Store_A,Sports,2,305.76,63.23,14,3762.31,2,0.17,1,Mobile,Supplier_Z,507.56159999999994,126.46,611.52,63.23,-293.6484000000001
T00051,2024-01-14,Store_A,Sports,2,256.77,284.73,14,8286.55,1,0.04,0,Mobile,Supplier_Y,492.99839999999995,569.46,256.77,0.0,-333.23160000000007
